crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion
Groundnut,Vegetative,31,73,46,14,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Brinjal,Vegetative,27,82,15,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Tomato,Vegetative,32,75,57,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Groundnut,Flowering,33,64,0,11,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Brinjal,Vegetative,26,86,19,10,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Tomato,Vegetative,33,80,58,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Coconut,Flowering,32,65,9,14,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Harvest,30,64,0,11,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Sugarcane,Germination,24,81,67,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Banana,Harvest,26,69,7,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Tomato,Vegetative,28,71,30,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Coconut,Harvest,31,72,0,9,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Groundnut,Harvest,31,74,9,10,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Tomato,Vegetative,30,74,30,9,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Tomato,Vegetative,29,67,30,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Tomato,Flowering,31,69,1,15,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Cotton,Vegetative,30,76,55,8,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Coconut,Flowering,34,60,6,11,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Flowering,32,64,2,13,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Cotton,Vegetative,30,73,58,12,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Banana,Harvest,30,72,0,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Banana,Harvest,30,74,0,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Coconut,Harvest,34,70,9,9,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Groundnut,Vegetative,33,75,36,14,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Cotton,Flowering,37,61,2,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Rice,Flowering,37,72,18,19,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Maize,Germination,30,79,67,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Coconut,Harvest,31,70,0,10,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Banana,Harvest,28,79,0,12,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Groundnut,Flowering,33,67,4,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Cotton,Vegetative,32,78,44,10,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Coconut,Harvest,33,67,3,10,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Banana,Harvest,29,76,0,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Rice,Flowering,36,82,12,18,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Brinjal,Flowering,37,74,11,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Flowering,34,70,0,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Vegetative,28,85,15,13,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Banana,Harvest,29,77,0,13,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Cotton,Flowering,36,65,14,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Tomato,Flowering,32,71,12,18,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Maize,Germination,30,80,62,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Brinjal,Flowering,34,73,0,15,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Cotton,Vegetative,29,82,55,12,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Rice,Flowering,38,80,22,19,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Groundnut,Vegetative,33,72,28,13,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Coconut,Harvest,28,72,12,8,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Coconut,Harvest,30,70,6,7,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Maize,Germination,29,85,48,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Brinjal,Flowering,36,74,0,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Banana,Harvest,27,69,1,11,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Tomato,Flowering,34,71,1,17,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Tomato,Vegetative,31,72,40,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Flowering,34,65,4,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Germination,30,87,53,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Cotton,Vegetative,31,75,48,12,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Tomato,Vegetative,29,66,33,9,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Flowering,35,63,21,15,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Coconut,Harvest,34,70,2,10,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Rice,Flowering,36,74,19,15,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Millet,Flowering,34,67,21,16,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Germination,27,81,39,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Sugarcane,Germination,23,85,70,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Cotton,Flowering,36,67,14,16,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Maize,Vegetative,34,74,19,11,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Coconut,Harvest,32,71,14,10,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Maize,Vegetative,31,72,26,11,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Tomato,Vegetative,27,73,26,13,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Germination,27,78,46,6,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Millet,Flowering,31,64,14,12,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Vegetative,35,73,23,11,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Tomato,Vegetative,29,72,41,13,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Groundnut,Vegetative,31,75,42,16,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Groundnut,Harvest,31,75,0,14,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Banana,Harvest,30,74,0,10,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Coconut,Harvest,32,70,14,8,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Groundnut,Harvest,28,69,8,14,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Banana,Harvest,26,78,0,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Coconut,Harvest,24,72,0,10,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Groundnut,Flowering,35,74,0,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Cotton,Flowering,35,70,15,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Flowering,34,65,17,13,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Flowering,33,68,6,14,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Banana,Harvest,29,72,0,13,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Maize,Germination,27,77,45,15,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Cotton,Flowering,34,70,9,20,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Sugarcane,Germination,25,82,66,10,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Tomato,Vegetative,29,80,44,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Banana,Harvest,28,75,0,11,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Rice,Flowering,35,77,14,17,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Tomato,Flowering,33,69,19,16,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Banana,Harvest,30,73,8,9,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Brinjal,Vegetative,29,80,12,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Cotton,Flowering,35,65,4,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Flowering,35,68,10,14,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Flowering,37,76,0,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Groundnut,Flowering,36,74,3,14,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Cotton,Vegetative,31,82,53,12,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Coconut,Flowering,34,60,9,10,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Harvest,31,73,13,11,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Banana,Harvest,26,75,2,11,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Maize,Germination,28,84,43,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Groundnut,Harvest,30,76,2,12,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Cotton,Vegetative,32,74,41,12,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Cotton,Vegetative,32,81,46,8,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Millet,Flowering,31,66,11,14,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Brinjal,Vegetative,30,80,26,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Cotton,Vegetative,29,79,45,11,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Brinjal,Vegetative,28,89,14,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Tomato,Vegetative,29,76,42,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Brinjal,Flowering,34,71,0,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Sugarcane,Germination,24,86,70,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Tomato,Vegetative,31,72,36,13,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Germination,25,78,48,9,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Cotton,Vegetative,32,80,54,9,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Coconut,Flowering,34,60,3,14,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Millet,Flowering,33,67,17,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Groundnut,Harvest,30,74,3,10,Check weather forecasts before harvesting. Avoid harvesting during rainy periods to prevent spoilage and damage.
Millet,Germination,27,85,47,9,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Sugarcane,Germination,25,87,67,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Rice,Flowering,38,81,10,16,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Cotton,Flowering,37,63,12,18,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Coconut,Harvest,32,67,12,8,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Banana,Harvest,29,76,0,12,Harvest crops at their peak maturity for the best quality and highest yield. Monitor for signs of ripeness.
Coconut,Harvest,24,74,6,10,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Tomato,Vegetative,27,75,36,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Germination,26,84,45,10,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Rice,Flowering,37,79,23,15,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Groundnut,Flowering,34,71,0,11,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Germination,28,86,40,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Tomato,Vegetative,31,77,55,9,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Cotton,Vegetative,31,79,53,9,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Tomato,Flowering,35,76,13,14,"Provide adequate watering to support flower development, but avoid overwatering, which could lead to fungal diseases."
Brinjal,Vegetative,30,90,19,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Maize,Germination,28,79,54,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Millet,Flowering,32,60,23,16,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Tomato,Vegetative,29,70,33,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Coconut,Harvest,24,72,0,8,Use proper harvesting techniques to prevent injury to crops and ensure they are preserved for transport.
Brinjal,Flowering,34,78,10,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Maize,Vegetative,31,72,25,10,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Millet,Flowering,33,67,8,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Millet,Germination,25,81,40,7,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Brinjal,Vegetative,27,80,30,10,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Groundnut,Flowering,34,68,4,11,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Maize,Germination,31,81,57,13,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Cotton,Vegetative,30,83,49,8,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Cotton,Flowering,37,69,5,20,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Vegetative,29,86,14,11,Fertilize the soil with balanced nutrients to support the development of strong stems and healthy leaves.
Cotton,Flowering,33,68,10,19,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Brinjal,Flowering,35,75,0,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Tomato,Vegetative,29,66,39,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Flowering,35,68,7,14,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Tomato,Vegetative,30,76,60,12,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Millet,Germination,23,80,47,6,Monitor soil pH levels and adjust if needed to create an ideal environment for seed germination.
Maize,Vegetative,33,71,34,12,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Groundnut,Vegetative,33,80,46,12,"Remove weeds regularly to prevent competition for water, nutrients, and space, promoting better crop development."
Maize,Vegetative,34,75,30,9,"Regularly check for nutrient deficiencies such as nitrogen, phosphorus, or potassium and correct as needed."
Tomato,Vegetative,31,73,43,10,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Maize,Germination,29,88,53,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Maize,Germination,29,76,50,15,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Groundnut,Flowering,36,68,10,12,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Millet,Flowering,35,68,20,14,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
Cotton,Flowering,36,69,7,17,Ensure pollination is happening properly by attracting pollinators or using manual methods if necessary.
Cotton,Vegetative,28,76,55,8,"Ensure the crop gets enough sunlight for photosynthesis, which is crucial for strong vegetative growth."
Maize,Germination,30,79,66,14,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Maize,Germination,30,82,68,12,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Coconut,Harvest,30,63,0,7,"Store harvested crops in cool, dry conditions to prevent post-harvest losses due to mold or rot."
Tomato,Vegetative,29,78,51,9,"Increase irrigation if weather is dry, but ensure the soil does not become waterlogged to avoid root rot."
Sugarcane,Germination,27,87,68,11,Protect seeds from extreme temperatures by maintaining an optimal range. Regularly check soil temperature to support germination.
Rice,Flowering,38,74,22,19,Maintain a balanced nutrient regimen to support flowering. Apply fertilizers that promote flowering and fruit setting.
Groundnut,Flowering,36,67,8,13,"Monitor the environment for stress factors such as temperature fluctuations, which can affect flower formation."
