crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion,category
Onion,Germination,34,70,27,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Groundnut,Harvest,35,80,29,16,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Banana,Vegetative,33,67,35,9,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Banana,Flowering,34,78,21,17,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Paddy,Flowering,32,71,38,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Groundnut,Vegetative,32,65,31,16,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Harvest,36,69,36,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Germination,35,74,25,19,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Banana,Flowering,34,74,25,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Sugarcane,Harvest,33,71,29,6,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Sugarcane,Germination,36,80,25,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Sugarcane,Harvest,34,65,22,17,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Chili,Harvest,35,80,33,18,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Banana,Vegetative,36,76,38,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Chili,Vegetative,36,79,25,20,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Groundnut,Germination,38,79,31,18,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Flowering,37,67,22,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Onion,Germination,38,65,22,9,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Chili,Germination,32,75,36,6,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Groundnut,Flowering,37,77,33,15,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Vegetative,36,75,27,12,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Harvest,34,68,30,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Onion,Germination,38,75,39,13,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Onion,Flowering,34,68,20,9,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Cotton,Germination,38,77,20,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Banana,Germination,38,67,25,18,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Vegetative,36,72,31,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Turmeric,Vegetative,32,65,31,5,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Chili,Harvest,33,71,24,9,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Paddy,Germination,33,72,30,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Cotton,Germination,38,75,26,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Cotton,Flowering,32,72,35,9,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Millet,Germination,36,79,20,8,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Maize,Harvest,37,74,29,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Sugarcane,Germination,34,68,27,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Brinjal,Vegetative,32,78,27,18,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Chili,Harvest,37,72,20,19,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Tomato,Flowering,37,70,28,6,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Banana,Flowering,36,67,23,20,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Vegetative,37,76,39,17,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Germination,32,69,20,8,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Maize,Vegetative,33,65,28,18,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Millet,Harvest,34,73,27,8,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Chili,Germination,36,80,22,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Groundnut,Vegetative,37,78,40,20,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Paddy,Vegetative,38,75,32,10,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Groundnut,Germination,33,74,21,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Chili,Vegetative,33,68,21,7,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Millet,Vegetative,34,71,28,6,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Turmeric,Harvest,35,75,32,17,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Cotton,Harvest,37,66,28,7,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Millet,Germination,35,80,39,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Sugarcane,Germination,36,72,27,10,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Sugarcane,Vegetative,34,65,39,6,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Paddy,Germination,33,66,34,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Maize,Vegetative,34,66,21,6,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Banana,Vegetative,32,69,28,9,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Onion,Harvest,37,70,31,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Turmeric,Vegetative,37,69,22,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Paddy,Flowering,33,71,33,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Millet,Vegetative,37,69,33,18,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Paddy,Harvest,35,78,34,12,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Brinjal,Vegetative,33,75,38,11,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,0
Brinjal,Flowering,36,80,33,16,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Onion,Harvest,34,69,38,12,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,0
Tomato,Germination,36,69,26,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Banana,Germination,33,73,30,6,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,0
Maize,Flowering,34,71,23,6,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,0
Banana,Vegetative,38,66,34,11,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening.,0
Banana,Germination,32,79,24,20,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,0
Onion,Vegetative,26,81,60,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Chili,Germination,26,90,73,17,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Brinjal,Germination,25,89,75,7,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Turmeric,Germination,27,81,53,20,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Millet,Flowering,30,89,66,15,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Cotton,Vegetative,26,86,89,12,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Chili,Vegetative,27,87,78,13,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Onion,Flowering,24,79,85,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Germination,26,88,88,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Vegetative,27,83,60,6,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Turmeric,Vegetative,24,80,68,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Vegetative,26,84,79,11,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Cotton,Harvest,25,83,87,20,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Brinjal,Germination,25,84,82,11,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Brinjal,Flowering,25,77,87,7,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Chili,Harvest,30,84,58,17,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Chili,Vegetative,25,83,83,18,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Millet,Vegetative,27,86,60,17,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Chili,Harvest,30,84,69,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Cotton,Flowering,25,80,78,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Millet,Vegetative,27,76,83,13,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Cotton,Harvest,29,83,79,18,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Onion,Harvest,27,84,59,12,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Chili,Flowering,27,85,88,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Millet,Harvest,27,80,65,20,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Millet,Germination,30,84,59,10,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Brinjal,Harvest,28,84,66,11,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Flowering,29,84,52,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Millet,Vegetative,29,76,55,12,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,1
Onion,Harvest,26,89,59,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Millet,Germination,28,88,85,17,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Millet,Vegetative,27,84,59,17,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Paddy,Vegetative,26,81,80,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Cotton,Flowering,29,86,82,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Sugarcane,Harvest,24,80,68,8,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Sugarcane,Germination,27,75,56,9,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,1
Brinjal,Germination,28,79,74,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Groundnut,Germination,30,76,89,10,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Germination,26,81,53,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,1
Turmeric,Vegetative,30,79,76,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Turmeric,Harvest,24,85,71,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Cotton,Flowering,25,78,80,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Brinjal,Vegetative,26,77,53,5,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,1
Onion,Flowering,24,76,56,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,1
Cotton,Germination,29,83,67,10,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Turmeric,Harvest,28,78,83,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Tomato,Harvest,27,80,51,18,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Banana,Germination,26,89,71,13,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Paddy,Flowering,26,83,79,7,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,1
Paddy,Flowering,25,84,69,20,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
Onion,Germination,25,82,59,20,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,1
